unique_id,ds,y
ELECT,Jun-07,2715.6
ELECT,Jul-07,2915.7
ELECT,Aug-07,2989.8
ELECT,Sep-07,2760.1
ELECT,Oct-07,2727.9
ELECT,Nov-07,2754.7
ELECT,Dec-07,2946.9
ELECT,Jan-08,2831.52
ELECT,Feb-08,2337.8
ELECT,Mar-08,2897.8
ELECT,Apr-08,2814.3
ELECT,May-08,2933.8
ELECT,Jun-08,2934.46
ELECT,Jul-08,3195.35
ELECT,Aug-08,3160.6
ELECT,Sep-08,2892.5
ELECT,Oct-08,2645.02
ELECT,Nov-08,2540.2
ELECT,Dec-08,2739.6
ELECT,Jan-09,2433.5
ELECT,Feb-09,2449.38
ELECT,Mar-09,2833.61
ELECT,Apr-09,2712.88
ELECT,May-09,2838.9
ELECT,Jun-09,3100.09
ELECT,Jul-09,3344.98
ELECT,Aug-09,3443.2
ELECT,Sep-09,3203.33
ELECT,Oct-09,3121.04
ELECT,Nov-09,3234.09
ELECT,Dec-09,3497.8
ELECT,Jan-10,3514
ELECT,Feb-10,2695.9
ELECT,Mar-10,3369.5
ELECT,Apr-10,3316.4
ELECT,May-10,3404.7
ELECT,Jun-10,3466.6
ELECT,Jul-10,3776.4
ELECT,Aug-10,3903.3
ELECT,Sep-10,3486.5
ELECT,Oct-10,3328.8
ELECT,Nov-10,3453.4
ELECT,Dec-10,3677.8
ELECT,Jan-11,3672.27
ELECT,Feb-11,3100.8
ELECT,Mar-11,3830.1
ELECT,Apr-11,3663.8
ELECT,May-11,3775.4
ELECT,Jun-11,3968.2
ELECT,Jul-11,4251.5
ELECT,Aug-11,4260.4
ELECT,Sep-11,3860.6
ELECT,Oct-11,3640.4
ELECT,Nov-11,3713
ELECT,Dec-11,4038.1
ELECT,Jan-12,3485.6
ELECT,Feb-12,3701.92
ELECT,Mar-12,4109.2
ELECT,Apr-12,3718.2
ELECT,May-12,3898.1
ELECT,Jun-12,3933.5
ELECT,Jul-12,4351.2
ELECT,Aug-12,4372.8
ELECT,Sep-12,3907.3
ELECT,Oct-12,3897.7
ELECT,Nov-12,4010.5
ELECT,Dec-12,4327.2
ELECT,Jan-13,4208.06
ELECT,Feb-13,3365.11
ELECT,Mar-13,4194.29
ELECT,Apr-13,3994.4
ELECT,May-13,4104.14
ELECT,Jun-13,4252.61
ELECT,Jul-13,4794.52
ELECT,Aug-13,4987.02
ELECT,Sep-13,4310.36
ELECT,Oct-13,4305.15
ELECT,Nov-13,4391.82
ELECT,Dec-13,4779.63
ELECT,Jan-14,4328.15
ELECT,Feb-14,3833.58
ELECT,Mar-14,4527.68
ELECT,Apr-14,4250.22
ELECT,May-14,4415.94
ELECT,Jun-14,4580.71
ELECT,Jul-14,5047.94
ELECT,Aug-14,4959.31
ELECT,Sep-14,4541.72
ELECT,Oct-14,4446.41
ELECT,Nov-14,4487.21
ELECT,Dec-14,4902.18
ELECT,Jan-15,4907.01
ELECT,Feb-15,3653.85
ELECT,Mar-15,4510.61
ELECT,Apr-15,4450.26
ELECT,May-15,4562.18
ELECT,Jun-15,4745.27
ELECT,Jul-15,5089.62
ELECT,Aug-15,5155.31
ELECT,Sep-15,4547.76
ELECT,Oct-15,4453.55
ELECT,Nov-15,4660.41
ELECT,Dec-15,4910.33
ELECT,Jan-16,4812.47
ELECT,Feb-16,3889.26
ELECT,Mar-16,4778.84
ELECT,Apr-16,4444.5
ELECT,May-16,4635.9
ELECT,Jun-16,4907.9
ELECT,Jul-16,5506.1
ELECT,Aug-16,5617.2
ELECT,Sep-16,4912.8
ELECT,Oct-16,4875.8
ELECT,Nov-16,5034.1
ELECT,Dec-16,5328.9
ELECT,Mar-17,5168.9
ELECT,Apr-17,4767.2
ELECT,May-17,4947
ELECT,Jun-17,5203
ELECT,Jul-17,6047.4
ELECT,Aug-17,5945.5
ELECT,Sep-17,5219.6
ELECT,Oct-17,5038.1
ELECT,Nov-17,5196.3
ELECT,Dec-17,5698.6
ELECT,Mar-18,5283.4
ELECT,Apr-18,5107.8
ELECT,May-18,5443.3
ELECT,Jun-18,5550.6
ELECT,Jul-18,6400.2
ELECT,Aug-18,6404.9
ELECT,Sep-18,5483.1
ELECT,Oct-18,5330.2
ELECT,Nov-18,5543
ELECT,Dec-18,6199.9
ELECT,Mar-19,5697.9
ELECT,Apr-19,5440.2
ELECT,May-19,5589
ELECT,Jun-19,5833.9
ELECT,Jul-19,6573.1
ELECT,Aug-19,6682.4
ELECT,Sep-19,5908.4
ELECT,Oct-19,5714.2
ELECT,Nov-19,5889.8
ELECT,Dec-19,6544.2
ELECT,Mar-20,5525.1
ELECT,Apr-20,5542.7
ELECT,May-20,5932.4
ELECT,Jun-20,6304.1
ELECT,Jul-20,6801.2
ELECT,Aug-20,7238.3
ELECT,Sep-20,6315.2
ELECT,Oct-20,6094.5
ELECT,Nov-20,6418.7
ELECT,Dec-20,7277.2
ELECT,Mar-21,6579
ELECT,Apr-21,6230.1
ELECT,May-21,6478.4
ELECT,Jun-21,6860.5
ELECT,Jul-21,7586.2
ELECT,Aug-21,7383.5
ELECT,Sep-21,6751.2
ELECT,Oct-21,6393.5
